agent	soul_outcome	soul_detail	memory_outcome	memory_detail
decibel-aether	legacy_clean		legacy_clean	
decibel-alphawave	legacy_clean		legacy_clean	
decibel-anchor	legacy_clean		legacy_clean	
delta	legacy_clean		legacy_clean	
delta-aether	legacy_clean		legacy_clean	
delta-alphawave	legacy_clean		legacy_clean	
delta-anchor	legacy_clean		legacy_clean	
derive	legacy_clean		legacy_clean	
derive-aether	legacy_clean		legacy_clean	
derive-alphawave	legacy_clean		legacy_clean	
derive-anchor	legacy_clean		legacy_clean	
detour	legacy_clean		legacy_clean	
detour-aether	legacy_clean		legacy_clean	
detour-alphawave	legacy_clean		legacy_clean	
detour-anchor	legacy_clean		legacy_clean	
deviant	legacy_clean		legacy_clean	
deviant-aether	legacy_clean		legacy_clean	
deviant-alphawave	legacy_clean		legacy_clean	
deviant-anchor	legacy_clean		legacy_clean	
diffract	legacy_clean		legacy_clean	
diffract-aether	legacy_clean		legacy_clean	
diffract-alphawave	git_recovered	dfdf4d61a727943568c236a9fc74d26b890fc89c	legacy_clean	
diffract-anchor	legacy_clean		legacy_clean	
diode	legacy_clean		legacy_clean	
diode-aether	legacy_clean		legacy_clean	
diode-alphawave	legacy_clean		legacy_clean	
diode-anchor	legacy_clean		legacy_clean	
dispatch	git_recovered	b8d9159d9e72d51c3243cc0559ddd106fc978c42	legacy_clean	
dispatch-aether	legacy_clean		legacy_clean	
dispatch-alphawave	legacy_clean		legacy_clean	
dispatch-anchor	legacy_clean		legacy_clean	
diverge	legacy_clean		legacy_clean	
diverge-aether	legacy_clean		legacy_clean	
diverge-alphawave	legacy_clean		legacy_clean	
diverge-anchor	legacy_clean		legacy_clean	
docent	legacy_clean		legacy_clean	
docent-aether	git_recovered	96f0c08bded635c1e0bb81aa850d23ecf332c6f9	legacy_clean	
docent-alphawave	legacy_clean		legacy_clean	
docent-anchor	legacy_clean		legacy_clean	
domain	legacy_clean		legacy_clean	
domain-aether	git_recovered	ae34f57101828e4780a8a824765d70f7246eb61f	legacy_clean	
domain-alphawave	legacy_clean		legacy_clean	
domain-anchor	legacy_clean		legacy_clean	
drift	legacy_clean		legacy_clean	
drift-aether	legacy_clean		legacy_clean	
drift-alphawave	legacy_clean		legacy_clean	
drift-anchor	legacy_clean		legacy_clean	
dross	legacy_clean		legacy_clean	
dryad	legacy_clean		legacy_clean	
dryad-aether	legacy_clean		legacy_clean	
dryad-alphawave	git_recovered	96f0c08bded635c1e0bb81aa850d23ecf332c6f9	legacy_clean	
dryad-anchor	legacy_clean		legacy_clean	
dusk	legacy_clean		legacy_clean	
dusk-aether	legacy_clean		legacy_clean	
dusk-alphawave	git_recovered	241192d5a5e14055c768928e3efd926d509b423b	legacy_clean	
dusk-anchor	legacy_clean		legacy_clean	
dynamo	legacy_clean		legacy_clean	
dynamo-aether	legacy_clean		legacy_clean	
dynamo-alphawave	legacy_clean		legacy_clean	
dynamo-anchor	legacy_clean		legacy_clean	
echo	legacy_clean		legacy_clean	
echo-aether	legacy_clean		legacy_clean	
echo-alphawave	legacy_clean		legacy_clean	
echo-anchor	legacy_clean		legacy_clean	
eclipse	legacy_clean		legacy_clean	
eclipse-aether	legacy_clean		legacy_clean	
eclipse-alphawave	legacy_clean		legacy_clean	
eclipse-anchor	legacy_clean		legacy_clean	
eddy	legacy_clean		legacy_clean	
eddy-aether	legacy_clean		legacy_clean	
eddy-alphawave	legacy_clean		legacy_clean	
eddy-anchor	legacy_clean		legacy_clean	
eidolon	git_recovered	4b213e5e463699d50460452562429886f06e7b1e	legacy_clean	
eidolon-aether	legacy_clean		legacy_clean	
eidolon-alphawave	legacy_clean		legacy_clean	
eidolon-anchor	legacy_clean		legacy_clean	
ember	legacy_clean		legacy_clean	
ember-aether	legacy_clean		legacy_clean	
ember-alphawave	legacy_clean		legacy_clean	
ember-anchor	legacy_clean		legacy_clean	
enigma	legacy_clean		legacy_clean	
enigma-aether	legacy_clean		legacy_clean	
enigma-alphawave	legacy_clean		legacy_clean	
enigma-anchor	legacy_clean		legacy_clean	
entropy	legacy_clean		legacy_clean	
entropy-aether	legacy_clean		legacy_clean	
entropy-alphawave	legacy_clean		legacy_clean	
entropy-anchor	legacy_clean		legacy_clean	
envoy	legacy_clean		legacy_clean	
envoy-aether	legacy_clean		legacy_clean	
envoy-alphawave	legacy_clean		legacy_clean	
envoy-anchor	legacy_clean		legacy_clean	
epidemius	git_recovered	b36317aed8d29b42133609b0e747100af723028a	legacy_clean	
epoch	legacy_clean		legacy_clean	
epoch-aether	legacy_clean		legacy_clean	
epoch-alphawave	git_recovered	96f0c08bded635c1e0bb81aa850d23ecf332c6f9	legacy_clean	
epoch-anchor	legacy_clean		legacy_clean	
equinox	git_recovered	dfdf4d61a727943568c236a9fc74d26b890fc89c	legacy_clean	
equinox-aether	legacy_clean		legacy_clean	
equinox-alphawave	legacy_clean		legacy_clean	
equinox-anchor	legacy_clean		legacy_clean	
errata	legacy_clean		legacy_clean	
errata-aether	legacy_clean		legacy_clean	
errata-alphawave	legacy_clean		legacy_clean	
errata-anchor	legacy_clean		legacy_clean	
etch	legacy_clean		legacy_clean	
etch-aether	legacy_clean		legacy_clean	
etch-alphawave	legacy_clean		legacy_clean	
etch-anchor	legacy_clean		legacy_clean	
eureka	legacy_clean		legacy_clean	
eureka-aether	legacy_clean		legacy_clean	
eureka-alphawave	legacy_clean		legacy_clean	
eureka-anchor	legacy_clean		legacy_clean	
evolve	legacy_clean		legacy_clean	
evolve-aether	legacy_clean		legacy_clean	
evolve-alphawave	legacy_clean		legacy_clean	
evolve-anchor	legacy_clean		legacy_clean	
exponent	legacy_clean		legacy_clean	
exponent-aether	legacy_clean		legacy_clean	
exponent-alphawave	git_recovered	96f0c08bded635c1e0bb81aa850d23ecf332c6f9	legacy_clean	
exponent-anchor	legacy_clean		legacy_clean	
facet	legacy_clean		legacy_clean	
facet-aether	legacy_clean		legacy_clean	
facet-alphawave	legacy_clean		legacy_clean	
facet-anchor	legacy_clean		legacy_clean	
factor	legacy_clean		legacy_clean	
factor-aether	legacy_clean		legacy_clean	
factor-alphawave	git_recovered	ae34f57101828e4780a8a824765d70f7246eb61f	legacy_clean	
factor-anchor	legacy_clean		legacy_clean	
fathom	legacy_clean		legacy_clean	
fathom-aether	legacy_clean		legacy_clean	
fathom-alphawave	legacy_clean		legacy_clean	
fathom-anchor	legacy_clean		legacy_clean	
ferrite	legacy_clean		legacy_clean	
ferrite-aether	legacy_clean		legacy_clean	
ferrite-alphawave	legacy_clean		legacy_clean	
ferrite-anchor	legacy_clean		legacy_clean	
filament	legacy_clean		legacy_clean	
filament-aether	legacy_clean		legacy_clean	
filament-alphawave	legacy_clean		legacy_clean	
filament-anchor	legacy_clean		legacy_clean	
filament-arc	legacy_clean		legacy_clean	
firewall	legacy_clean		legacy_clean	
firewall-aether	legacy_clean		legacy_clean	
firewall-alphawave	legacy_clean		legacy_clean	
firewall-anchor	legacy_clean		legacy_clean	
fission	legacy_clean		legacy_clean	
fission-aether	legacy_clean		legacy_clean	
fission-alphawave	legacy_clean		legacy_clean	
fission-anchor	git_recovered	81f6bc63281948cdba66ac212649a5ef19b639ca	legacy_clean	
fjord	legacy_clean		legacy_clean	
fjord-aether	legacy_clean		legacy_clean	
fjord-alphawave	legacy_clean		legacy_clean	
fjord-anchor	legacy_clean		legacy_clean	
flare	git_recovered	dfdf4d61a727943568c236a9fc74d26b890fc89c	legacy_clean	
flare-aether	legacy_clean		legacy_clean	
flare-alphawave	legacy_clean		legacy_clean	
flare-anchor	legacy_clean		legacy_clean	
flicker	legacy_clean		legacy_clean	
flicker-aether	git_recovered	96f0c08bded635c1e0bb81aa850d23ecf332c6f9	legacy_clean	
flicker-alphawave	legacy_clean		legacy_clean	
flicker-anchor	legacy_clean		legacy_clean	
flux	legacy_clean		legacy_clean	
flux-aether	legacy_clean		legacy_clean	
flux-alphawave	legacy_clean		legacy_clean	
flux-anchor	legacy_clean		legacy_clean	
focal	legacy_clean		legacy_clean	
focal-alphawave	legacy_clean		legacy_clean	
focal-anchor	legacy_clean		legacy_clean	
footnote	legacy_clean		legacy_clean	
forge	legacy_clean		legacy_clean	
forge-alphawave	git_recovered	4b213e5e463699d50460452562429886f06e7b1e	legacy_clean	
forge-anchor	legacy_clean		legacy_clean	
